,Name of Dish,Instruction
164,Green Tomato Casserole,"Preheat oven to 350 degrees F (175 degrees C).
                            Mix green tomatoes, celery, green onions, and cilantro together in a 2-quart casserole dish. Whisk soy sauce, olive oil, brown sugar, vinegar, black pepper, salt, and red pepper flakes together in a bowl; pour over vegetable mixture. Toss to coat.
                            Bake in the preheated oven until vegetables are tender, about 45 minutes; stir about 20 minutes into cooking to redistribute sauce.
                            "
165,Sweet Potato Minestrone,"Heat oil in a soup pot over medium-high heat.  Saute onion, celery, Italian seasoning, salt and pepper until tender, about 5 minutes.  Stir in tomatoes, with the juice, broth, sweet potatoes, carrots, green beans and garlic.  Bring to a boil; reduce heat to low and simmer, stirring occasionally, until vegetables are tender, about 30 minutes.
                            "
166,Yellow Dhal - Sweet Potato Soup,"Rinse lentils under running water; drain. Place lentils, 2 1/2 cups water, and turmeric in a medium pot, and bring to a boil. Cover, reduce heat, and cook until lentils are tender, about 30 minutes.
                            Meanwhile, place cubed sweet potato in a steamer over 1 inch of boiling water. Cover and cook until tender but still firm, about 15 minutes (time may vary depending on size of potato pieces). Once tender, mash sweet potato and lentils together; set aside.
                            Heat the oil in a skillet over medium heat, and cook the onion until lightly browned. Stir in tomato, jalapenos, salt, and pepper, and continue cooking another 3 to 5 minutes. Place lentils, vegetables, and potatoes in a stockpot over medium heat. Stir in water as needed to attain desired consistency. Serve warm with cilantro or green onions.
                            "
167,Gnocchi I,"Bring a large pot of salted water to a boil. Peel potatoes and add to pot.  Cook until tender but still firm, about 15 minutes. Drain, cool and mash with a fork or potato masher.
                            Combine 1 cup mashed potato, flour and egg in a large bowl.  Knead until dough forms a ball.  Shape small portions of the dough into long ""snakes"".  On a floured surface, cut snakes into half-inch pieces.
                            Bring a large pot of lightly salted water to a boil. Drop in gnocchi and cook for 3 to 5 minutes or until gnocchi have risen to the top; drain and serve.
                            "
168,Mama's Hearty Minestrone,"Heat vegetable oil in a large frying pan over medium heat; cook and stir onion and garlic until fragrant, about 2 minutes. Add ground beef; cook and stir until beef is crumbly, evenly browned, and no longer pink, about 10 minutes. Drain excess grease.
                            Transfer ground beef mixture to an 8-quart stockpot; add chicken broth, diced tomatoes, tomato sauce, water, and carrots. Bring to a boil; reduce heat and simmer until carrots are partially cooked, 10 minutes. Add zucchini, bell pepper, basil, oregano, salt, and black pepper; simmer until carrots are tender, about 10 more minutes.
                            Stir broccoli and macaroni into soup; simmer until macaroni is cooked through but firm to the bite, about 10 minutes. Garnish with Parmesan cheese to serve.
                            "
169,Chicken Fiesta Salad,"Rub chicken evenly with 1/2 the fajita seasoning. Heat the oil in a skillet over medium heat, and cook the chicken 8 minutes on each side, or until juices run clear; set aside.
                            In a large saucepan, mix beans, corn, salsa and other 1/2 of fajita seasoning. Heat over medium heat until warm.
                            Prepare the salad by tossing the greens, onion and tomato. Top salad with chicken and dress with the bean and corn mixture.
                            "
170,Homemade Lox,"Rinse salmon with water; pat dry with paper towels.
                            Mix salt and sugar together in a bowl. Lay out a piece of plastic wrap. Pour half of the salt mixture onto the plastic wrap; lay salmon on top. Cover salmon with remaining salt mixture.
                            Fold plastic wrap around salmon until secure; wrap a second layer of plastic wrap around salmon. Transfer to a 9x9-inch baking pan; cover with an 8x8-inch baking pan. Place a heavy object onto the smaller baking pan to weigh salmon down. Cure in the refrigerator until salmon's surface becomes silky, about 48 hours.
                            Combine water and ice in a bowl. Mix water and 3 drops liquid smoke together in a bowl. Place salmon into liquid smoke mixture to rinse. Submerge into ice bath for 30 minutes. Repeat rinsing and submerging 2 more times, adding 3 drops of liquid smoke to the rinse water each time.
                            Dry salmon with paper towels. Cut with a sharp knife staring from the thin edge of the salmon and cutting toward the thick edge.
                            "
171,Cape Malay Pickled Fish,"Heat the oil in a large skillet over medium-high heat. Season the fish with salt and place in the skillet. Fry on both sides until fish is browned and cooked through, about 5 minutes per side. Remove from the skillet and set aside.
                            Fry the onions and garlic in the same skillet over medium heat until translucent. Add the peppercorns, allspice berries, bay leaves, and red chile pepper. Pour in the vinegar and water and bring to a boil. Stir in the brown sugar until dissolved. Season with curry powder, turmeric, cumin and coriander. Taste and adjust the sweetness if desired.
                            Layer pieces of fish and the pickling mixture in a serving dish. Pour the liquid over until the top layer is covered. Allow to cool then cover and refrigerate for at least 24 hours before serving.
                            "
172,Garlic Roasted Broccoli with Parmesan Cheese,"Preheat your oven to 425 degrees F.
                            Wash the broccoli and cut it into bite-sized pieces. Place the broccoli on a large rimmed baking sheet.
                            Mince the garlic and toss it in with the broccoli.
                            Drizzle 3 tablespoons extra virgin olive oil over the broccoli, then season with coarse black pepper and kosher salt.
                            Bake in the oven for 20-25 minutes until the broccoli is tender.
                            Toss in lemon juice, parmesan cheese, and 1 tablespoon olive oil; serve immediately.
                            "
173,Sausage-Stuffed Eggplant,"Preheat oven to 400 degrees F (200 degrees C).
                            Brush cut sides of eggplant with olive oil and place, cut-side up onto a baking sheet. Roast in preheated oven for 30 minutes, then remove and allow to cool slightly.
                            Meanwhile, brown the Italian sausage in a skillet over medium-high heat; drain off the grease. Place into a mixing bowl, and season with garlic powder, Italian seasoning, and pepper. Stir in bread crumbs, 1/2 cup of spaghetti sauce, 1/2 cup of mozzarella cheese, and the beaten egg; mix well.
                            Once the roasted eggplant has cooled enough to handle, scoop out the flesh to within 1/2-inch of the skin to create a shell. Roughly chop the eggplant meat, and fold into the sausage mixture. Divide evenly among the two eggplant shells, and sprinkle with remaining mozzarella cheese.
                            Bake in preheated oven until the filling has set, and the cheese is bubbly and golden-brown, about 30 minutes. While the eggplant is baking, warm the remaining spaghetti sauce in a saucepan over medium-low heat to serve with the eggplant.
                            "
174,Eggs Benedict,"To Make Hollandaise: Fill the bottom of a double boiler part-way with water. Make sure that water does not touch the top pan. Bring water to a gentle simmer. In the top of the double boiler, whisk together egg yolks, lemon juice, white pepper, Worcestershire sauce, and 1 tablespoon water.
                            Add the melted butter to egg yolk mixture 1 or 2 tablespoons at a time while whisking yolks constantly. If hollandaise begins to get too thick, add a teaspoon or two of hot water. Continue whisking until all butter is incorporated. Whisk in salt, then remove from heat. Place a lid on pan to keep sauce warm.
                            Preheat oven on broiler setting. To Poach Eggs: Fill a large saucepan with 3 inches of water. Bring water to a gentle simmer, then add vinegar. Carefully break eggs into simmering water, and allow to cook for 2 1/2 to 3 minutes. Yolks should still be soft in center. Remove eggs from water with a slotted spoon and set on a warm plate
                            While eggs are poaching, brown the bacon in a medium skillet over medium-high heat and toast the English muffins on a baking sheet under the broiler.
                            Spread toasted muffins with softened butter, and top each one with a slice of bacon, followed by one poached egg. Place 2 muffins on each plate and drizzle with hollandaise sauce. Sprinkle with chopped chives and serve immediately.
                            "
175,Easy Quiche,"Preheat oven to 375 degrees F (190 degrees C). Lightly grease a 10 inch quiche dish.
                            In a large bowl, beat together milk, eggs, baking mix, butter and parmesan cheese. Batter will be lumpy. Stir in broccoli, ham and Cheddar cheese. Pour into prepared quiche dish.
                            Bake in preheated oven for 50 minutes, until eggs are set and top is golden brown.
                            "
176,Pork Chops with Raspberry Sauce,"Preheat oven to 200 degrees F (95 degrees C). In a small bowl, combine crushed thyme, sage, salt, and pepper. Rub evenly over pork chops.
                            Melt butter and olive oil in a nonstick skillet. Cook pork chops for 4 to 5 minutes on each side, turning once. Remove from skillet and keep warm in preheated oven.
                            In the skillet, combine raspberry jam, orange juice, and vinegar. Bring to a boil, and cook for 2 to 3 minutes, or until sauce is reduced to desired consistency (sauce will thicken as it cools). Spoon sauce in a pool onto a serving plate, and top with pork chops. Garnish with sprigs of thyme.
                            "
177,Authentic Huevos Rancheros,"Heat oil in a small skillet over medium-high heat. Fry tortillas one at a time until firm, but not crisp. Remove to paper towels to drain grease.
                            Meanwhile, combine the refried beans and butter in a microwave-safe dish. Cover, and cook in the microwave until heated through. When tortillas are done, fry eggs over easy in the skillet. Add more oil if the tortillas have absorbed it all.
                            Place tortillas onto plates, and spread a layer of beans on them. Top with cheese,  a fried egg, crumbled bacon and if desired, salsa.
                            "
178,Air Fryer Breakfast Frittata,"Combine sausage, eggs, Cheddar-Monterey Jack cheese, bell pepper. onion, and cayenne in a bowl and mix to combine.
                            Preheat the air fryer to 360 degrees F (180 degrees C). Spray a nonstick 6x2-inch cake pan with cooking spray.
                            Place egg mixture in the prepared cake pan.
                            Cook in the air fryer until frittata is set, 18 to 20 minutes.
                            "
179,Firecracker Grilled Alaska Salmon,"Place salmon filets in a medium, nonporous glass dish. In a separate medium bowl, combine the peanut oil, soy sauce, vinegar, green onions, brown sugar, garlic, ginger, red pepper flakes, sesame oil and salt. Whisk together well, and pour over the fish. Cover and marinate the fish in the refrigerator for 4 to 6 hours.
                                    Watch Now
Prepare an outdoor grill with coals about 5 inches from the grate, and lightly oil the grate.
                                    Watch Now
Grill the fillets 5 inches from coals for 10 minutes per inch of thickness, measured at the thickest part, or until fish just flakes with a fork. Turn over halfway through cooking.
                                    Watch Now
"
180,Brooke's Best Bombshell Brownies,"Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 baking dish.
                            Combine the melted butter, sugar, and vanilla in a large bowl. Beat in the eggs, one at a time, mixing well after each, until thoroughly blended.
                            Sift the flour, cocoa powder, and salt in a bowl. Gradually stir flour mixture into the egg mixture until blended. Stir in the chocolate morsels. Spread the batter evenly into the prepared baking dish.
                            Bake in preheated oven until an inserted toothpick comes out clean, 35 to 40 minutes. Remove, and cool pan on wire rack before cutting.
                            "
181,Pad Thai,"Soak rice noodles in cold water 30 to 50 minutes, or until soft. Drain, and set aside.
                            Heat butter in a wok or large heavy skillet. Saute chicken until browned. Remove, and set aside. Heat oil in wok over medium-high heat. Crack eggs into hot oil, and cook until firm. Stir in chicken, and cook for 5 minutes. Add softened noodles, and vinegar, fish sauce, sugar and red pepper. Adjust seasonings to taste. Mix while cooking, until noodles are tender. Add bean sprouts, and mix for 3 minutes.
                            "
182,Thai Pineapple Chicken Curry,"Bring rice and water to a boil in a pot. Reduce heat to low, cover, and simmer 25 minutes.
                            In a bowl, whisk together curry paste and 1 can coconut milk. Transfer to a wok, and mix in remaining coconut milk, chicken, fish sauce, sugar, and bamboo shoots. Bring to a boil, and cook 15 minutes, until chicken juices run clear.
                            Mix the red bell pepper, green bell pepper, and onion into the wok. Continue cooking 10 minutes, until chicken juices run clear and peppers are tender. Remove from heat, and stir in pineapple. Serve over the cooked rice.
                            "
183,Buttermilk Strawberry Shortcake,"Preheat the oven to 425 degrees F (220 degrees C).
                            Line a baking sheet with parchment paper.
                            Whisk together flour, baking powder, baking soda, 1/3 cup white sugar, and salt in a mixing bowl.
                            Cut in cold butter with a knife or pastry blender until the mixture resembles coarse crumbs. (If desired, place flour mixture into the work bowl of a food processor with the butter; pulse several times to cut butter into the flour mixture. Transfer mixture to a mixing bowl, and proceed.)
                            Stir in buttermilk until the flour mixture is moistened.
                            Drop 1/3-cup scoops of the dough 2 inches apart onto the prepared baking sheet.
                            Brush biscuits with heavy cream and sprinkle generously with turbinado sugar.
                            Bake in the preheated oven until golden brown, 15 to 20 minutes.
                            Mix together the sliced strawberries, 1/4 cup white sugar, and lemon juice in a large bowl. Allow berries to rest until juices develop, about 30 minutes.
                            Serve the strawberries with juice over the biscuits.
                            "
184,Broccoli Souffle,"Preheat oven to 350 degrees F (175 degrees C).
                            Place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add broccoli, cover, and steam until tender, 2 to 4 minutes.
                            Melt margarine in a saucepan over medium heat. Add flour and stir until mixed. Slowly add the milk, stirring to prevent lumps. Cook until white sauce is thickened, about 10 minutes.
                            Combine broccoli, eggs, mayonnaise, and onion in a baking dish; cover with white sauce and stir to combine.
                            Bake in preheated oven for 30 minutes. Sprinkle Cheddar cheese on top and bake until set, about 15 minutes more.
                            "
185,Quiche Lorraine I,"Preheat oven to 425 degrees F (220 degrees C).
                            Place bacon in a large skillet, and fry over medium-high heat until crisp. Drain on paper towels, then chop coarsely. Sprinkle bacon, cheese and onion into pastry shell.
                            In a medium bowl, whisk together eggs, cream, salt, sugar and cayenne pepper. Pour mixture into pastry shell.
                            Bake 15 minutes in the preheated oven. Reduce heat to 300 degrees F (150 degrees C), and bake an additional 30 minutes, or until a knife inserted 1 inch from edge comes out clean. Allow quiche to sit 10 minutes before cutting into wedges.
                            "
186,Chakchouka (Shakshouka),"Heat the olive oil in a skillet over medium heat. Stir in the onion, bell peppers, and garlic; cook and stir until the vegetables have softened and the onion has turned translucent, about 5 minutes.
                            Combine the tomatoes, cumin, paprika, salt, and chile pepper into a bowl and mix briefly. Pour the tomato mixture into the skillet, and stir to combine.
                            Simmer, uncovered, until the tomato juices have cooked off, about 10 minutes. Make four indentations in the tomato mixture for the eggs. Crack the eggs into the indentations. Cover the skillet and let the eggs cook until they're firm but not dry, about 5 minutes.
                            "
187,The Best Thai Peanut Sauce,"In a bowl, mix the peanut butter, coconut milk, water, lime juice, soy sauce, fish sauce, hot sauce, ginger, and garlic. Mix in the cilantro just before serving.
                            "
188,Slow Cooker Chicken with Mushroom Wine Sauce,"In a slow cooker, mix  together the soup, onion, parsley, wine, garlic powder, milk, and mushroom pieces. Season with salt and pepper. Place chicken in the slow cooker, covering with the soup mixture.
                            Cook on Low setting for 5 to 6 hours, or on High setting for 3 to 4 hours.
                            "
189,Shrimp and Grits With Kielbasa,"Bring polenta, water, and salt to a boil in a saucepan; reduce heat to low and simmer until polenta is thickened, 10 to 15 minutes.
                            Heat olive oil in a large skillet over medium heat and cook kielbasa sausage until browned, 5 to 8 minutes; stir in garlic, rosemary, and red pepper flakes and cook, stirring often, until garlic is fragrant, about 1 minute. Mix in shrimp and stir gently until shrimp are pink and no longer translucent inside, about 5 minutes.
                            Transfer shrimp mixture and any pan juices to a large serving bowl and stir grits into the mixture. Stir Cheddar cheese into the hot mixture until melted.
                            "
190,Bacon Cheddar Chive Muffins,"Place bacon in a large, deep skillet. Cook over medium high heat until evenly brown. Drain, crumble and set aside.
                            Preheat oven to 400 degrees F (200 degrees C). Lightly grease muffin pan.
                            In a large mixing bowl, combine flour, sugar, baking powder, salt, garlic powder, chives, parmesan cheese, cheddar cheese and crumbled bacon. Combine the egg, milk, cream of mushroom soup and vegetable oil. Mix into the dry ingredients and stir together just to moisten.
                            Spoon the batter into prepared muffin pans and bake at 400 degrees F (200 degrees C) for 20 to 25 minutes, or until a toothpick inserted into a muffin comes out clean.
                            "
191,Zucchini and Potato Bake,"Preheat oven to 400 degrees F (200 degrees C).
                            In a medium baking pan, toss together the zucchini, potatoes, red bell pepper, garlic, bread crumbs, and olive oil. Season with paprika, salt, and pepper.
                            Bake 1 hour in the preheated oven, stirring occasionally, until potatoes are tender and lightly brown.
                            "
192,Sour Cream Coffee Cake I,"In a large bowl, blend together butter or margarine, white sugar, 1/2 cup brown sugar, sour cream, eggs, and vanilla.  Add to these ingredients the flour, baking powder, and soda.  Blend until smooth.
                            To Make Filling:  Combine cinnamon and 1/4 cup brown sugar.
                            Grease and flour a large Bundt pan.  Pour 1/2 of the batter into the prepared pan.  Sprinkle the cinnamon sugar mix on top of the batter in the pan, and cover with the remaining batter.
                            Bake at 350 degrees F (175 degrees C) for 45 to 50 minutes.  Cool.
                            Make a thick glaze by mixing together confectioners' sugar with 2 to 3 tablespoons milk until smooth.  Pour over cooled cake, and add sprinkles if desired.
                            "
193,Split Pea Soup,"In a large stock pot, cover peas with 2 quarts cold water and soak overnight.  If you need a faster method, simmer the peas gently for 2 minutes, and then soak for l hour.
                            Once peas are soaked, add ham bone, onion, salt, pepper and marjoram.  Cover, bring to boil and then simmer for 1 1/2 hours, stirring occasionally.
                            Remove bone; cut off meat, dice and return meat to soup.  Add celery, carrots and potatoes.  Cook slowly, uncovered for 30 to 40 minutes, or until vegetables are tender.
                            "
194,Jamie's Cranberry Spinach Salad,"In a medium saucepan, melt butter over medium heat. Cook and stir almonds in butter until lightly toasted. Remove from heat, and let cool.
                                    Watch Now
In a medium bowl, whisk together the sesame seeds, poppy seeds, sugar, onion, paprika, white wine vinegar, cider vinegar, and vegetable oil. Toss with spinach just before serving.
                                    Watch Now
In a large bowl, combine the spinach with the toasted almonds and cranberries.
                                    Watch Now
"
195,Cream of Cauliflower and Stilton Soup,"Separate 3/4 cup of the cauliflower florets and place them in a pan of boiling water. Boil for 2 to 3 minutes, then rinse under cold water, and set aside for garnish.
                            Heat oil in a large saucepan over medium heat. Add onion, garlic, leek and celery. Cook, stirring, until tender, about 5 minutes. Add potato, chicken broth, uncooked  cauliflower and sherry. Bring to a boil, then simmer over low heat, stirring occasionally until potatoes and cauliflower are tender. Remove from heat.
                            Puree the cauliflower mixture in batches using a food processor or blender, and transfer to a soup pot over medium-low heat. I like it smooth but still with little tiny bits in it. Season with white pepper, black pepper and salt. Stir in the milk and cream, then crumble in the Stilton cheese. Heat through, but do not boil.
                            Ladle into bowls, and garnish with cauliflower pieces and chopped fresh parsley.
                            "
196,Basic Chicken Salad,"Place almonds in a frying pan. Toast over medium-high heat, shaking frequently. Watch carefully, as they burn easily.
                            In a medium bowl, mix together mayonnaise, lemon juice, and pepper. Toss with chicken, almonds, and celery.
                            "
197,Black Bean and Couscous Salad,"Bring chicken broth to a boil in a 2 quart or larger sauce pan and stir in the couscous.  Cover the pot and remove from heat.  Let stand for 5 minutes.
                            In a large bowl, whisk together the olive oil, lime juice, vinegar and cumin.  Add green onions, red pepper, cilantro, corn and beans and toss to coat.
                            Fluff the couscous well, breaking up any chunks.  Add to the bowl with the vegetables and mix well.  Season with salt and pepper to taste and serve at once or refrigerate until ready to serve.
                            "
198,Tuna Salad Muffins,"Preheat oven to 375 degrees F (190 degrees C). Lightly grease muffin tins.
                            In a medium bowl, stir together flour, sugar, baking powder, and salt. Set aside.
                            Into a separate bowl, flake tuna; then stir in yogurt, green onion, olives, and garlic. Set aside.
                            In a small bowl, whisk together egg, milk, and oil.
                            Stir tuna mixture into flour mixture. Gently stir milk mixture into flour mixture. Spoon tuna salad into the wells of muffin tins.
                            Bake in a preheated oven for 20 to 25 minutes.
                            "
199,Bacon Ranch Pasta Salad,"Bring a large pot of lightly salted water to a boil; cook rotini at a boil until tender yet firm to the bite, about 8 minutes; drain.
                            Place bacon in a skillet over medium-high heat and cook until evenly brown. Drain and chop.
                            In a large bowl, mix mayonnaise, ranch dressing mix, garlic powder, and garlic pepper. Stir in milk until smooth. Place rotini, bacon, tomato, black olives and cheese in bowl and toss to coat with dressing. Cover and chill at least 1 hour in the refrigerator. Toss with additional milk if the salad seems a little dry.
                            "
200,Broiled Tilapia Parmesan,"Preheat your oven's broiler. Grease a broiling pan or line pan with aluminum foil.
                            In a small bowl, mix together the Parmesan cheese, butter, mayonnaise and lemon juice. Season with dried basil, pepper, onion powder and celery salt. Mix well and set aside.
                            Arrange fillets in a single layer on the prepared pan. Broil a few inches from the heat for 2 to 3 minutes. Flip the fillets over and broil for a couple more minutes. Remove the fillets from the oven and cover them with the Parmesan cheese mixture on the top side. Broil for 2 more minutes or until the topping is browned and fish flakes easily with a fork. Be careful not to over cook the fish.
                            "
201,Lena's Minestrone,"In a large pot ombine the potatoes, carrots, celery, onion, garlic, beans, tomato paste and water. Cook over medium heat until all the vegetables are tender.
                            Transfer soup to a food processor or blender and puree until smooth.
                            Return soup to pot and stir in pasta. If desired add additional water to  thin soup. Stir in the oregano and basil. Season to taste with salt and pepper. Cook over medium heat unitl pasta is al dente. Serve hot topped with freshly grated Romano.
                            "
202,Russian Green Bean and Potato Soup,"Heat vegetable oil in a large saucepan over medium heat. Stir in the onion, and gently cook until softened and translucent, about 5 minutes. Add the potatoes and green beans; cook until the green beans have slightly softened, about 5 more minutes.
                            Pour in the vegetable stock. Bring to a boil over high heat, then lower heat to medium-low, cover, and cook until the potatoes have softened, about 15 minutes. Stir the flour into the sour cream, and add it a spoonful at a time to the simmering soup. Stir in the sauerkraut and dill, season to taste with salt and pepper. Simmer for 5 minutes more before serving.
                            "
203,Mexican Zucchini Cheese Soup,"Heat the olive oil in a large pot, and saute the onion and garlic until tender. Season with oregano.
                            Mix in the chicken broth and tomatoes. Bring to a boil. Mix in the zucchini, yellow squash, corn, and chile peppers. Reduce heat to low, and simmer 10 minutes, or until the squash is tender.
                            Mix the cubed processed cheese into the soup. Continue to cook and stir until cheese is melted. Season with pepper. Mix in the cilantro just before serving.
                            "
204,Pumpkin Soup,"Heat stock, salt, pumpkin, onion, thyme, garlic, and peppercorns. Bring to a boil, reduce heat to low, and simmer for 30 minutes uncovered.
                                    Watch Now
Puree the soup in small batches (1 cup at a time) using a food processor or blender.
                                    Watch Now
Return to pan, and bring to a boil again. Reduce heat to low, and simmer for another 30 minutes, uncovered. Stir in heavy cream. Pour into soup bowls and garnish with fresh parsley.
                                    Watch Now
"
205,Southern Fried Green Tomatoes,"In a small bowl whisk together egg and milk.  In another small bowl mix cornmeal and flour.
                            Heat oil in a large skillet over medium heat; use more or less oil to reach about 1/4 inch in depth.
                            Dredge tomato slices first in egg mixture, then in cornmeal mixture.  Carefully place slices in hot oil and cook until browned on both sides.
                            "
206,Green Chile Frittata,"Preheat oven to 400 degrees F (200 degrees C). Lightly grease a 9x13 inch baking dish.
                            In a large bowl, mix the eggs, flour, baking powder, and salt. Stir in the green chile peppers, cottage cheese, Cheddar cheese, and melted butter. Pour into the prepared baking dish.
                            Bake 15 minutes in the preheated oven. Reduce heat to 325 degrees F (165 degrees C), and continue baking for 35 to 40 minutes. Cool slightly, and cut into small squares.
                            "
207,Creamy Summer Squash Soup,"Place the summer squash, zucchini, vegetable stock, half-and-half, and tarragon into a large soup pot; bring to a boil, reduce heat to a simmer, and cook until the vegetables are tender, about 10 minutes.
                            Pour the soup into a blender, filling the pitcher no more than halfway full. Hold down the lid of the blender with a folded kitchen towel, and carefully start the blender, using a few quick pulses to get the soup moving before leaving it on to puree. Puree in batches until nearly smooth, and pour into a clean pot. Alternately, you can use a stick blender and puree the soup right in the cooking pot.
                            Sprinkle the Cheddar cheese into the hot soup, and allow to melt; stir until thoroughly mixed. Stir in the lemon juice, and top with a sprinkling of tarragon to serve.
                            "
208,Homemade Deviled Ham Sandwiches,"Place ham and onion into a food processor and process until very finely chopped.
                            Transfer ham mixture to a bowl. Thoroughly mix in salad dressing, honey, prepared mustard, Worcestershire sauce, dry mustard powder, hot pepper sauce, paprika, salt, and white pepper.
                            Refrigerate ham spread covered until ready to use.
                            "
209,Broccoli and Rice Stir Fry,"In a saucepan, bring 3 cups water to a boil. Stir in rice. Reduce heat, cover, and simmer for 20 minutes.
                            Heat oil in a large skillet over medium heat. Saute broccoli until tender crisp, and add scallions. Remove from skillet. Scramble eggs; return broccoli mixture to pan. Stir in cooked rice, soy sauce, salt and pepper.
                            "
210,Thai Red Curry Paste,"Blend chile peppers, onions, cilantro, oil, garlic, coriander, lemon zest, cumin, shrimp paste, paprika, peppercorns, lemon grass, turmeric, and salt together in a blender until a smooth, paste-like consistency is reached.
                            "
211,Jerre's Black Bean and Pork Tenderloin Slow Cooker Chili,"Combine pork tenderloin, onion, red pepper, black beans, salsa, chicken broth, oregano, cumin, and chili powder in a slow cooker. Set to Low and cook for 8 to 10 hours.
                                    Watch Now
Break up pieces of cooked pork to thicken the chili before serving.
                                    Watch Now
"
212,Herb Watermelon Feta Salad,"Gently toss watermelon, onion, basil, cilantro, mint, lime juice, feta cheese, olive oil, balsamic vinegar, salt, and black pepper together in a large bowl.
                            "
213,Soft and Chewy Chocolate-Banana Oat Bars,"Combine drink mix, almond butter, oats, banana, and coconut in a medium bowl.
                            Line an 8-inch baking pan with foil. Spray foil with cooking spray.
                            Press mixture evenly into the pan and place freeze until firm, 2 to 3 hours. Cut into bars. Serve frozen, or let soften in the refrigerator.
                            "
214,Turkey Carcass Soup,"Place the turkey carcass into a large soup pot or stock pot and pour in the water; bring to a boil, reduce heat to a simmer, and cook the turkey frame until the remaining meat falls off the bones, about 1 hour. Remove the turkey carcass and remove and chop any remaining turkey meat. Chop the meat.
                            Strain the broth through a fine mesh strainer into a clean soup pot. Add the chopped turkey to the strained broth; bring the to a boil, reduce heat, and stir in the potatoes, carrots, celery, onion, cabbage, tomatoes, barley, Worcestershire sauce, salt, parsley, basil, bay leaf, black pepper, paprika, poultry seasoning, and thyme. Simmer until the vegetables are tender, about 1 more hour. Remove bay leaf before serving.
                            "
215,Zucchini Soup II,"In a large stock pot saute zucchini, celery, carrots and onion in margarine, until done (approximately 20 minutes).
                            In a small mixing bowl combine flour and milk.  Mix until smooth and then add to stock pot.
                            Cook soup until thickened and then puree in a blender or food processor until smooth and creamy.
                            Pour pureed soup back into stock pot and add cream of mushroom soup, water, bouillon cubes and sour cream.  If desired also add white wine.  Simmer until heated through and then serve.
                            "
216,Classic Cinnamon Rolls,"Combine potatoes, potato water, butter, sugar, salt and hot water in large mixing bowl.  Stir until butter melts; set aside and let cool.  Combine yeast and 1/2 cup warm water in small bowl. Let rest 5 minutes. Add eggs, 2 cups flour and yeast mixture to potato mixture. Beat until well mixed. Continue adding flour, 1 cup at a time until soft dough forms.
                            Knead on a lightly floured surface until smooth and elastic (about 4 to 6 minutes), OR knead with electric mixer using dough hook. Place in a greased bowl, turning to coat. Cover.
                            Let rise in a warm, draft free area about 1 hour, until doubled in size.  Punch dough down; divide in half.
                            Roll one portion of dough on a lightly floured surface to a 12 x 18-inch rectangle.  Spread with half the butter.  Combine sugar and cinnamon; sprinkle half of the mixture over surface.    Roll up tightly lengthwise, sealing edges.  Cut into 12 slices.  Place in greased 13 x 9-inch pan.  Repeat with remaining dough.  Cover.
                            Let rise 30 to 45 minutes until nearly doubled.
                            Bake in preheated 350 degrees F oven for 25 to 30 minutes.
                            Cool for 15 minutes.  Combine icing ingredients and drizzle over rolls.
                            "
217,"Roasted Cauliflower, Garlic, and Leek Soup","Preheat oven to 400 degrees F (200 degrees C). Grease a baking sheet.
                            Put cauliflower florets into a large bowl. Drizzle olive oil over the cauliflower; season with salt and pepper. Add garlic to the cauliflower and spread onto a baking sheet.
                            Roast in preheated oven for 15 minutes, turn the florets and garlic, and continue roasting until golden brown, about 10 minutes more.
                            Melt butter in a large pot over medium heat. Cook and stir celery and leek in hot butter until softened, about 5 minutes. Stir flour into the celery mixture; cook and stir until flour is heated, 2 to 3 minutes more.
                            Stream chicken broth into the pot while continually stirring to incorporate. Add cauliflower, garlic, and marjoram to the broth mixture; bring to a simmer and cook until the flavors develop together, about 10 minutes.
                            Blend soup with an immersion blender to your desired consistency; season again with salt.
                            "
218,Chicken Parmesan,"Preheat an oven to 450 degrees F (230 degrees C).
                            Place chicken breasts between two sheets of heavy plastic (resealable freezer bags work well) on a solid, level surface. Firmly pound chicken with the smooth side of a meat mallet to a thickness of 1/2-inch. Season chicken thoroughly with salt and pepper.
                            Beat eggs in a shallow bowl and set aside.
                            Mix bread crumbs and 1/2 cup Parmesan cheese in a separate bowl, set aside.
                            Place flour in a sifter or strainer; sprinkle over chicken breasts, evenly coating both sides.
                            Dip flour coated chicken breast in beaten eggs. Transfer breast to breadcrumb mixture, pressing the crumbs into both sides. Repeat for each breast. Set aside breaded chicken breasts for about 15 minutes.
                            Heat 1 cup olive oil in a large skillet on medium-high heat until it begins to shimmer. Cook chicken until golden, about 2 minutes on each side. The chicken will finish cooking in the oven.
                            Place chicken in a baking dish and top each breast with about 1/3 cup of tomato sauce. Layer each chicken breast with equal amounts of mozzarella cheese, fresh basil, and provolone cheese. Sprinkle 1 to 2 tablespoons of Parmesan cheese on top and drizzle with 1 tablespoon olive oil.
                            Bake in the preheated oven until cheese is browned and bubbly, and chicken breasts are no longer pink in the center, 15 to 20 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).
                            "
