ingredient,recipe
butter,"Bacon Cheese Frittata;Russian Mushroom and Potato Soup;Make-Ahead Sour Cream Coffee Cake;Winter Leek and Potato Soup;Pecan Sour Cream Coffee Cake;Low Carb Cauliflower Leek Soup;Chicken Tikka Masala;Cream Cheese Pound Cake I;Green Risotto with Fava Beans;Rich and Simple French Onion Soup;Quick Creamy Zucchini Soup;Country House Bed and Breakfast Casserole;Yummy Sweet Potato Casserole;Sopapilla Cheesecake Pie;Bacon, Egg, and Cheese Breakfast Bombs;Hungarian Mushroom Soup;Smooth Cauliflower Soup;Barb's Fried Green Tomatoes with Zesty Sauce;Broccoli with Lemon Butter Sauce;Cream of Fresh Asparagus Soup II;Lemon-Buttermilk Pound Cake with Aunt Evelyn's Lemon Glaze;Chicken Cordon Bleu II;Cheesiest Potato Soup;Chicken Makhani (Indian Butter Chicken);Chef John's Fried Green Tomatoes ;Slow Cooker Buffalo Chicken Sandwiches;Creamy Au Gratin Potatoes;Old Charleston Style Shrimp and Grits;Scones;Hash Brown Casserole II;Summer Squash Soup;Cream of Cauliflower Soup II;Honey Roasted Red Potatoes;Broccoli with Garlic Butter and Cashews;Apple-Raisin French Toast Casserole;Baked Dijon Salmon;Delicious Ham and Potato Soup;Blueberry Sour Cream Coffee Cake;Baked Denver Omelet;Easy Broccoli Quiche;Roasted Pumpkin Seeds;Chef John's Sweet Potato Muffins;Creamy Cottage Cheese Scrambled Eggs;Roasted Cauliflower Soup;Overnight Blueberry French Toast;Banana Sour Cream Bread;Breakfast Biscuits;Butternut Squash Soup II;Green Beans with Cherry Tomatoes;Best Chocolate Chip Cookies;Quick and Almost-Professional Buttercream Icing;Apple Puff Pancake;American French Onion Soup;Kedgeree;Slow Cooker Beef Pot Roast;Apple Pie by Grandma Ople;Eggs Benedict;Easy Quiche;Pork Chops with Raspberry Sauce;Authentic Huevos Rancheros;Brooke's Best Bombshell Brownies;Pad Thai;Buttermilk Strawberry Shortcake;Sour Cream Coffee Cake I;Jamie's Cranberry Spinach Salad;Broiled Tilapia Parmesan;Green Chile Frittata;Classic Cinnamon Rolls;Roasted Cauliflower, Garlic, and Leek Soup;Chef John's Banana Bread;Apricot Glazed Carrots;Afghan Tomato Soup (Aush Goshti);Croissant and Salmon Breakfast Casserole;Sausage Casserole;Jersey Fresh Tomato Soup;Herbed Grilled Artichokes;French Onion Soup Gratinee;Quick Quiche;Buttery Garlic Green Beans;Broccoli Rice Casserole;New Orleans Barbeque Shrimp;Basic Crepes;Karen's Fried Green Tomatoes;Honey Mustard Pork Chops;Best Brownies;Slow Cooker Chicken and Dumplings;Cheddar Cheese Muffins;Simple Broccoli Soup with Cheddar Croutons ;Apple Crisp II;Apple Turnovers;White Chocolate Raspberry Cheesecake;Momma's Shrimp and Cheese Grits;Good Old Fashioned Pancakes;Annie's Fruit Salsa and Cinnamon Chips;Spicy Garlic Lime Chicken;Grilled Garlic Parmesan Zucchini;Lamb Chops with Balsamic Reduction;Chef John's Steak Diane;Baked Asparagus with Balsamic Butter Sauce;Lemon-Parsley Green Beans;Chef John's Ham and Potato Soup;Crabmeat Quiche;Herb, Sausage, and Cheese Dutch Baby;Easy Zucchini Soup;Quick and Easy Eggs Benedict;Garlic Red Potatoes;Simple Garlic Shrimp;Spinach Quiche;Broccoli With Lemon Almond Butter;Simple Cauliflower Soup;Banana Banana Bread;Eggs n' Fries;Best Darn Minestrone Soup Around;Daddy's Fried Corn and Onions;Zucchini Fenchel Suppe (Zucchini and Fennel Soup);Easy Mac and Cheese Muffins;Chocolate Cream Puff Swans;Apple Cider Glazed Doughnuts;Ashley's Apple Cider Doughnuts;To Die For Blueberry Muffins;Broccoli with Poppy Seed Butter and Parmesan Cheese;Easy Lemon and Garlic Broccoli;Pumpkin Waffles with Apple Cider Syrup;The Best Rolled Sugar Cookies;Mulligatawny Soup I;Blueberry Waffles with Fast Blueberry Sauce;Perfect Ten Baked Cod;Pumpkin French Toast Bake;Scrambled Eggs Done Right;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Aussie Breakfast Egg Mess;Curried Butternut Squash Soup;Copycat Panera Broccoli Cheddar Soup;Quick and Simple Broccoli and Cheese;Three Cheese Breakfast Bake;Best Big, Fat, Chewy Chocolate Chip Cookie;Browned Butter Vegetables with Almonds;Perfect Breakfast;Red Curry Coconut Squash Soup;Creamy Pesto Shrimp;Lemon-Garlic Shrimp and Grits;Buttermilk Pancakes II;Angela's Awesome Enchiladas;Curry Stand Chicken Tikka Masala Sauce;Buttermilk Doughnuts;Chinese Chicken Fried Rice II;Amazing Muffin Cups;Butternut and Acorn Squash Soup;Fat Granny's Minestrone Soup;Bacon, Potato, and Egg Taco Ole;Curried Cream of Cauliflower Soup;Award Winning Soft Chocolate Chip Cookies;Shrimp Scampi with Pasta;Simple Scones;Smoked Salmon Scramble;Spicy Edam Shrimp Quiche;Cauliflower-Cheese Soup;Grandma's Lemon Meringue Pie;Tequila Shrimp;The Most Easy and Delish Meatloaf EVER!;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Broccoli and Brussels Sprout Delight;Leek Potato Mushroom Cheddar Soup;Oven Scrambled Eggs;Absolutely Ultimate Potato Soup;Crispy Fish;Sour Cream Coffee Cake III;Cauliflower and White Cheddar Cheese Soup;Baked Shrimp Scampi;Sour Cream Blueberry Coffee Cake;Broccoli Cheese Bake;Polish Cream Cheese Coffee Cake;Butternut and Apple Harvest Soup;Garden Fresh Tomato Soup;Savory French Crepes ;Lemon Chicken Piccata;Savory Bacon and Crab Bread Pudding Eggs Benedict;Fluffy Pancakes;Baked French Toast;Chef John's Shrimp and Grits ;Roasted Cauliflower and Leek Soup;Cheesy Sausage and Vegetable Soup;Banana Crumb Muffins;Rach's Broccoli Casserole;Cinnamon Rolls III;Baked Butternut Squash;Mountain Apple Cobbler;Cream Corn Like No Other;Seafood Omelets with Creamy Cheese Sauce;Chef John's Chicken Tikka Masala;Eggs Benedict Breakfast Pizza;Baked Potato Soup V;Ooey-Gooey Cinnamon Buns;Grandma Jeanette's Amazing German Red Cabbage;Best Buckwheat Pancakes;Baked Homemade Macaroni and Cheese;Easy Garlic-Lemon Scallops;Baked Buffalo Wings;Judy's Strawberry Pretzel Salad;Smoked Salmon Dill Eggs Benedict;Tender and Easy Buttermilk Waffles;Salmon and Swiss Chard Quiche;Jill's Hash Brown Casserole;Classic Waffles;Broccoli Cheese Soup;Fresh Southern Peach Cobbler;Grandma Johnson's Scones;Ultimate Twice Baked Potatoes;Charleston Breakfast Casserole;Garlic Shrimp and Cheesy Grits;Buffalo Chicken Wing Sauce;Slow Cooker Texas Pulled Pork;Broccoli Cauliflower Casserole;Chicken Pot Pie IX;Baked Apple Roses;Pan-Fried Asparagus;Apple Stuffed Chicken Breast;Campbell's Tuna Noodle Casserole;Chicken Milano"
buttermilk,Barb's Fried Green Tomatoes with Zesty Sauce;Perfect Fried Green Tomatoes;Lemon-Buttermilk Pound Cake with Aunt Evelyn's Lemon Glaze;Breakfast Biscuits;Buttermilk Strawberry Shortcake;Irresistible Double Chocolate Muffins;Ashley's Apple Cider Doughnuts;Easy Buttermilk Baking Sheet Pancakes;Buttermilk Pancakes II;Oatmeal Pancakes II;Buttermilk Doughnuts;Fried Green Tomatoes with Shrimp Remoulade;Best Buckwheat Pancakes;Tender and Easy Buttermilk Waffles;Easy Sausage Gravy and Biscuits
cabbage,"Cabbage Fat-Burning Soup;Caldo de Res (Mexican Beef Soup);Winter Green Salad;Addictive Asian Beef Slaw (Crack Slaw);Turkey Carcass Soup;Thai Noodle Salad;Old-World Cabbage Soup;Fried Cabbage with Bacon, Onion, and Garlic;Minestrone Soup I;Vietnamese Rice Noodle Salad;Spicy Garlic and Pepper Shrimp;Kathy's Cabbage Soup;Healing Cabbage Soup;Grandma Jeanette's Amazing German Red Cabbage;Chef John's Minestrone Soup;Slow-Cooker Corned Beef and Cabbage  ;Cabbage and Smoked Sausage Soup;Sweet Russian Cabbage Soup"
cardamom,Chef John's Chicken Tikka Masala
carnation,Soft and Chewy Chocolate-Banana Oat Bars;Chocolate Protein Muffins
carrot,"Oriental Cold Noodle Salad;Russian Mushroom and Potato Soup;Cabbage Fat-Burning Soup;Thai Red Chicken Curry;Smooth Cauliflower Soup;Caldo de Res (Mexican Beef Soup);Quick and Easy Vegetable Soup;Judy's Hearty Vegetable Minestrone Soup;Jamie's Minestrone;Spicy Black Bean Vegetable Soup;Tortellini Minestrone Soup;Winter Green Salad;Summer Squash Soup;Cream of Cauliflower Soup II;Easy Minestrone;Classic Minestrone Soup;Butternut Squash Soup II;Awesome Slow Cooker Pot Roast Plus Extras;Slow Cooker Chicken Pot Pie Stew;Classic Macaroni Salad;Irish Chicken and Dumplings;Slow Cooker Beef Pot Roast;Addictive Asian Beef Slaw (Crack Slaw);Sweet Potato Minestrone;Mama's Hearty Minestrone;Split Pea Soup;Lena's Minestrone;Turkey Carcass Soup;Zucchini Soup II;Apricot Glazed Carrots;Buttery Cooked Carrots;Italian Sausage Soup with Tortellini;Jersey Fresh Tomato Soup;Beef Barley Vegetable Soup;Thai Noodle Salad;Slow Cooker Vegetarian Minestrone;Chef John's Ham and Potato Soup;The Best Bean and Ham Soup;Old-World Cabbage Soup;Vegetable Beef Minestrone;Minestrone Soup I;Mulligatawny Soup I;Cauliflower Potato Soup;Vietnamese Rice Noodle Salad;Sweet Potato, Carrot, Apple, and Red Lentil Soup;Copycat Panera Broccoli Cheddar Soup;Thai Carrot Salad;Easy Beef Stew for the Slow Cooker;Minestrone Soup II;Mama Kathy's Minestrone;Instant Pot Vegan Vegetable and Barley Soup;Ken's Minestrone Soup;Fat Granny's Minestrone Soup;Beef and Guinness Stew;Cauliflower-Cheese Soup;Carrot and Ginger Soup;Veggie Pesto Soup;Corrigan's Minestrone;Day-After-Thanksgiving Turkey Carcass Soup;Butternut and Apple Harvest Soup;Garden Veggie Zucchini Soup;Prosciutto Fave Minestrone alla Riso ;Slow Cooker Beef Stew I;Beaker's Vegetable Barley Soup;Cheesy Sausage and Vegetable Soup;Insanely Easy Vegetarian Chili;Roasted Carrot and Cauliflower Curried Soup;Slow-Cooker Corned Beef and Cabbage  ;Split Pea Soup with Rosemary;Macho Minestrone;Cabbage and Smoked Sausage Soup;Hearty Corn and Pumpkin Soup;Sweet Russian Cabbage Soup;Vegan Black Bean Soup;Nichole's Chicken Cauliflower Soup;Chicken Pot Pie IX;Shanghai Noodle Salad"
cashew,Broccoli with Garlic Butter and Cashews;Indian Fish Curry;Winter Fruit Salad with Lemon Poppyseed Dressing
cauliflower,"Roasted Brussels Sprouts with Apples, Golden Raisins, and Walnuts;Low Carb Cauliflower Leek Soup;Creamy Asparagus and Cauliflower Soup;Southwestern Cauliflower and Ham Soup;Smooth Cauliflower Soup;Cream of Cauliflower Soup II;Healthier Potato and Cauliflower Soup;Roasted Cauliflower Soup;Fabulous Roasted Cauliflower Soup;Cream of Cauliflower and Stilton Soup;Roasted Cauliflower, Garlic, and Leek Soup;Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup);Curried Cauliflower Soup;Simple Cauliflower Soup;Garlic Mashed Cauliflower;Cauliflower Potato Soup;Keto Instant Pot Soup (Low Carb);Browned Butter Vegetables with Almonds;Curried Cream of Cauliflower Soup;Cauliflower-Cheese Soup;Cauliflower and White Cheddar Cheese Soup;Cream of Cauliflower Soup With Bacon Gremolata;Roasted Cauliflower and Leek Soup;Roasted Garlic Cauliflower;Roasted Carrot and Cauliflower Curried Soup;Nichole's Chicken Cauliflower Soup;Broccoli Cauliflower Casserole"
cayenne,"Chicken Tikka Masala;Creamy Asparagus and Cauliflower Soup;Perfect Fried Green Tomatoes;Broccoli with Lemon Butter Sauce;Quick Creamed Curried Corn ;Cheesiest Potato Soup;Chicken Makhani (Indian Butter Chicken);Chef John's Fried Green Tomatoes ;Old Charleston Style Shrimp and Grits;Air Fryer Breakfast Frittata;Quiche Lorraine I;New Orleans Barbeque Shrimp;Simple Broccoli Soup with Cheddar Croutons ;Momma's Shrimp and Cheese Grits;Spicy Garlic Lime Chicken;Chef John's Steak Diane;Chef John's Ham and Potato Soup;Authentic Chicken Tikka Masala;Quick and Easy Eggs Benedict;Vegan Red Lentil Soup;Chef John's Quiche Lorraine;Sarah's Fried Green Tomatoes;Curried Butternut Squash Soup;Sean's Falafel and Cucumber Sauce;Tom Ka Gai (Coconut Chicken Soup);Lemon-Garlic Shrimp and Grits;Curry Stand Chicken Tikka Masala Sauce;Ken's Minestrone Soup;Curried Cream of Cauliflower Soup;Simple Turkey Chili;Black Bean and Corn Salad II;Indian Fish Curry;Absolutely The Best Shrimp Scampi;Sheet Pan Chicken Fajitas;Fried Green Tomatoes with Shrimp Remoulade;Crispy Fish;Baked Shrimp Scampi;Chef John's Stuffed Peppers;Cream of Cauliflower Soup With Bacon Gremolata;Quinoa and Black Beans;Parmalet (Crisp Parmesan Omelet);Savory Bacon and Crab Bread Pudding Eggs Benedict;Baked Broccoli;Chef John's Shrimp and Grits ;Chef John's Chicken Tikka Masala;Sharon's Awesome Chicago Chili;Baked Buffalo Wings;Smoked Salmon Dill Eggs Benedict;Buffalo Chicken Wing Sauce;Baked Beans, Texas Ranger"
celery,"Green Tomato and Bell Pepper Delight;Cabbage Fat-Burning Soup;Quick and Easy Vegetable Soup;Golden Potato Soup;No Time to Cook Chicken;Judy's Hearty Vegetable Minestrone Soup;Jamie's Minestrone;Tortellini Minestrone Soup;Delicious Ham and Potato Soup;Classic Minestrone Soup;Red Skinned Potato Salad;Holiday Chicken Salad;Butternut Squash Soup II;Slow Cooker Chicken Pot Pie Stew;Classic Macaroni Salad;Irish Chicken and Dumplings;Slow Cooker Beef Pot Roast;Green Tomato Casserole;Sweet Potato Minestrone;Split Pea Soup;Cream of Cauliflower and Stilton Soup;Basic Chicken Salad;Broiled Tilapia Parmesan;Lena's Minestrone;Turkey Carcass Soup;Zucchini Soup II;Roasted Cauliflower, Garlic, and Leek Soup;Jersey Fresh Tomato Soup;Navy Bean Soup I;Beef Barley Vegetable Soup;Broccoli Rice Casserole;Eggplant Caponata (Sicilian Version);Old Fashioned Potato Salad;Smoked Salmon and Egg Salad;Slow Cooker Vegetarian Minestrone;Zucchini Soup III;Chef John's Ham and Potato Soup;Cauliflower Soup;The Best Bean and Ham Soup;Drop Dead Delicious Tuna Salad;The Best Vegetarian Chili in the World;Old-World Cabbage Soup;Hash Brown and Pork Chop Casserole;Vegetable Beef Minestrone;Minestrone Soup I;Mulligatawny Soup I;New Wife Tuna Salad;Copycat Panera Broccoli Cheddar Soup;Easy Beef Stew for the Slow Cooker;Minestrone Soup II;Instant Pot Vegan Vegetable and Barley Soup;Fat Granny's Minestrone Soup;Kathy's Cabbage Soup;Beef and Guinness Stew;Green Tomato Relish;Cauliflower-Cheese Soup;Absolutely Ultimate Potato Soup;Corrigan's Minestrone;Day-After-Thanksgiving Turkey Carcass Soup;Cream of Cauliflower Soup With Bacon Gremolata;Prosciutto Fave Minestrone alla Riso ;Slow Cooker Beef Stew I;Beaker's Vegetable Barley Soup;Slow Cooker Zucchini Soup;Insanely Easy Vegetarian Chili;Lactose Free Corn Chowder;Hash Brown Casserole I;Grandma's Slow Cooker Vegetarian Chili;Chef John's Minestrone Soup;Macho Minestrone;Vegetarian Chickpea Sandwich Filling;Cabbage and Smoked Sausage Soup;Vegan Black Bean Soup;Nichole's Chicken Cauliflower Soup;Chicken Pot Pie IX;Lentil Soup"
cereal,Hash Brown Casserole II
chayote,Caldo de Res (Mexican Beef Soup)
cheddar cheese,"Bacon Cheese Frittata;Zucchini Herb Casserole;Winter Leek and Potato Soup;Bacon Cheese Muffins;Country House Bed and Breakfast Casserole;Bacon, Egg, and Cheese Breakfast Bombs;Eggy Veggie Bake;Chorizo Breakfast Tacos with Potato Hash and Eggs;Shrimp and Cheesy Grits with Bacon;Cheesiest Potato Soup;Country Sunday Breakfast Casserole;Creamy Au Gratin Potatoes;Cheesy Grilled Broccoli;Old Charleston Style Shrimp and Grits;Hash Brown Casserole II;Creamy Ham and Cheese Quiche;Baked Denver Omelet;Christmas Breakfast Sausage Casserole;Super Easy Egg Casserole;Easy Mexican Casserole;Egg and Sausage Casserole;All-American Loaded Baked Potato Salad;Breakfast Biscuits;Bodacious Broccoli Salad;American French Onion Soup;Bacon, Egg, and Cheese Strata;Easy Quiche;Authentic Huevos Rancheros;Broccoli Souffle;Shrimp and Grits With Kielbasa;Bacon Cheddar Chive Muffins;Bacon Ranch Pasta Salad;Green Chile Frittata;Creamy Summer Squash Soup;Clark's Quiche;Cheddar Cheese Muffins;Simple Broccoli Soup with Cheddar Croutons ;Mexican Egg Bake;Taco Salad I;Herb, Sausage, and Cheese Dutch Baby;Spinach and Potato Frittata;Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup);Scrambled Egg Muffins;Spinach Quiche;Hash Brown and Pork Chop Casserole;Easy Mac and Cheese Muffins;Cheesy Ham and Hash Brown Casserole;Bird's Nest Breakfast Cups;Cauliflower Potato Soup;Copycat Panera Broccoli Cheddar Soup;Quick and Simple Broccoli and Cheese;Keto Instant Pot Soup (Low Carb);Hash Brown and Egg Casserole;Angela's Awesome Enchiladas;Crab Brunch Casserole;Baked Potato Soup I;Cheesy Amish Breakfast Casserole;Cauliflower-Cheese Soup;Cheesy Bacon-Sausage-Egg-Hash Brown Skillet;Leek Potato Mushroom Cheddar Soup;Cauliflower and White Cheddar Cheese Soup;Mini Meatloaves;Asparagus, Potato, and Onion Frittata;Garden Veggie Zucchini Soup;Light and Fluffy Spinach Quiche;Chef John's Shrimp and Grits ;Cheesy Sausage and Vegetable Soup;Rach's Broccoli Casserole;Mini Spinach and Crab Quiche;Seafood Omelets with Creamy Cheese Sauce;Eggs Benedict Breakfast Pizza;Baked Potato Soup V;Easy Salsa Meatloaf;Baked Homemade Macaroni and Cheese;Jill's Hash Brown Casserole;Ultimate Twice Baked Potatoes;Charleston Breakfast Casserole;Garlic Shrimp and Cheesy Grits;Broccoli Cauliflower Casserole;Apple Stuffed Chicken Breast"
cheese,Southwestern Cauliflower and Ham Soup;Chicken Tortellini Soup With Zucchini and Tomatoes;Golden Potato Soup;Tortellini Minestrone Soup;The Best Ricotta Pancakes;Black Bean Huevos Rancheros;Provincial Tomatoes;American French Onion Soup;Air Fryer Breakfast Frittata;Cream of Cauliflower and Stilton Soup;Mexican Zucchini Cheese Soup;Clark's Quiche;Croissant and Salmon Breakfast Casserole;Broccoli Rice Casserole;Grilled Hearts of Romaine;World's Best Lasagna;Mexican Egg Bake;Momma's Shrimp and Cheese Grits;Make-Ahead Breakfast Bars;Three Cheese Breakfast Bake;Amazing Muffin Cups;Crustless Spinach Quiche;Tomato Basil Penne Pasta;Pesto Chicken Penne Casserole;Spicy Edam Shrimp Quiche;Carol's Baked Ziti Casserole;Breakfast Pies;Chef John's Stuffed Peppers;Cream of Cauliflower Soup With Bacon Gremolata;Parmalet (Crisp Parmesan Omelet);Mini Spinach and Crab Quiche;Chef John's Minestrone Soup;Antipasto Pasta Salad;Disney's Ratatouille;Broccoli and Tortellini Salad;Broccoli Cheese Soup
chervil,Roasted Cauliflower and Leek Soup
chicken,"Chicken Tikka Masala;Fiesta Slow Cooker Shredded Chicken Tacos;Chicken Tortellini Soup With Zucchini and Tomatoes;Thai Red Chicken Curry;Golden Potato Soup;No Time to Cook Chicken;Asparagus and Mozzarella Stuffed Chicken Breasts;Chicken Cordon Bleu II;Chicken Makhani (Indian Butter Chicken);Pad Kee Mow (Drunkard's Noodles);Slow Cooker Buffalo Chicken Sandwiches;White Bean Chicken Chili;Hash Brown Casserole II;Buffalo Chicken Skillet;Broccoli in Roast Chicken Drippings;Delicious Ham and Potato Soup;Thai Chicken Curry in Coconut Milk;Chicken and Artichoke Minestrone;Chicken Souvlaki with Tzatziki Sauce;Authentic Pad Thai;Spinach Stuffed Chicken Breasts;Holiday Chicken Salad;Butternut Squash Soup II;Simple Baked Chicken Breasts;Winter Root Soup;Slow Cooker Chicken Pot Pie Stew;Irish Chicken and Dumplings;Spicy Basil Chicken;Chicken Fiesta Salad;Thai Pineapple Chicken Curry;Slow Cooker Chicken with Mushroom Wine Sauce;Basic Chicken Salad;Pumpkin Soup;Zucchini Soup II;Chicken Parmesan;Khao Man Gai Thai Chicken and Rice (Healthy Version);Navy Bean Soup I;Broccoli Rice Casserole;Slow Cooker Chicken and Dumplings;Simple Broccoli Soup with Cheddar Croutons ;Thai Chicken with Basil Stir Fry;Spicy Garlic Lime Chicken;Picante Chicken Chili;Authentic Chicken Tikka Masala;Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup);Zucchini Fenchel Suppe (Zucchini and Fennel Soup);Easy Spicy Thai Slow Cooker Chicken;Mulligatawny Soup I;Cauliflower Potato Soup;Easy Pineapple Chicken;Panang Curry with Chicken;Chicken Satay;Thai Green Curry Chicken;Tom Ka Gai (Coconut Chicken Soup);Copycat Panera Broccoli Cheddar Soup;Keto Instant Pot Soup (Low Carb);Angela's Awesome Enchiladas;Greek Chicken Pasta;Curry Stand Chicken Tikka Masala Sauce;Curried Coconut Chicken;Curried Zucchini Soup;Chinese Chicken Fried Rice II;Ken's Minestrone Soup;Fat Granny's Minestrone Soup;Spicy Thai Basil Chicken (Pad Krapow Gai);Curried Cream of Cauliflower Soup;Pesto Chicken Penne Casserole;Beef and Guinness Stew;Thai Chicken Balls;Healing Cabbage Soup;Sheet Pan Chicken Fajitas;Wonton Soup;Absolutely Ultimate Potato Soup;Slow Cook Thai Chicken;Chicken and Corn Chili;Butternut and Apple Harvest Soup;Garden Veggie Zucchini Soup;Lemon Chicken Piccata;Roasted Cauliflower and Leek Soup;Sausage, Peppers, Onions, and Potato Bake;Chicken Massaman Curry;Chef John's Chicken Tikka Masala;Cream of Cauliflower Soup I;Baked Buffalo Wings;Cabbage and Smoked Sausage Soup;Thai Chicken Bites With Dipping Sauce;Thai Spicy Basil Chicken Fried Rice;Thai Chicken Satay;Nichole's Chicken Cauliflower Soup;Chicken Pot Pie IX;Best White Chicken Chili;Apple Stuffed Chicken Breast;Six Can Chicken Tortilla Soup;Chicken Milano"
chicken broth,"Russian Mushroom and Potato Soup;Winter Leek and Potato Soup;Green Risotto with Fava Beans;Fiesta Slow Cooker Shredded Chicken Tacos;Creamy Asparagus and Cauliflower Soup;Southwestern Cauliflower and Ham Soup;Hungarian Mushroom Soup;Quick and Easy Vegetable Soup;Cream of Fresh Asparagus Soup II;Jamie's Minestrone;Shrimp and Cheesy Grits with Bacon;Cheesiest Potato Soup;Old Charleston Style Shrimp and Grits;White Bean Chicken Chili;Tortellini Minestrone Soup;Summer Squash Soup;Cream of Cauliflower Soup II;Chicken and Artichoke Minestrone;Black Bean Huevos Rancheros;Healthier Potato and Cauliflower Soup;Roasted Cauliflower Soup;Easy Minestrone;Classic Minestrone Soup;Kickin' Collard Greens;Zucchini and Pork Soup;Fabulous Roasted Cauliflower Soup;Peanut Butter Noodles;American French Onion Soup;Slow Cooker Beef Pot Roast;Mama's Hearty Minestrone;Cream of Cauliflower and Stilton Soup;Black Bean and Couscous Salad;Mexican Zucchini Cheese Soup;Jerre's Black Bean and Pork Tenderloin Slow Cooker Chili;Roasted Cauliflower, Garlic, and Leek Soup;Jersey Fresh Tomato Soup;French Onion Soup Gratinee;One Skillet Mexican Quinoa;Lamb Chops with Balsamic Reduction;Chef John's Ham and Potato Soup;Easy Zucchini Soup;The Best Bean and Ham Soup;Tim Perry's Soup (Creamy Curry Cauliflower and Broccoli Soup);Old-World Cabbage Soup;Best Darn Minestrone Soup Around;Minestrone Soup I;Mulligatawny Soup I;Zucchini Soup I;Curried Butternut Squash Soup;Butternut Squash and Turkey Chili;Butternut and Acorn Squash Soup;Spicy Thai Basil Chicken (Pad Krapow Gai);Leek Potato Mushroom Cheddar Soup;Slow Cook Thai Chicken;Zucchini Tomato Soup II;Day-After-Thanksgiving Turkey Carcass Soup;Super-Delicious Zuppa Toscana;Cream of Cauliflower Soup With Bacon Gremolata;Garden Fresh Tomato Soup;Prosciutto Fave Minestrone alla Riso ;Lemon Chicken Piccata;The Best Thai Coconut Soup;Savory Bacon and Crab Bread Pudding Eggs Benedict;Seafood Omelets with Creamy Cheese Sauce;Chef John's Chicken Tikka Masala;Zucchini Soup with Herbs;Chef John's Minestrone Soup;Slow Cooker Carnitas;Split Pea Soup with Rosemary;Macho Minestrone;Thai Chicken Bites With Dipping Sauce;Hearty Corn and Pumpkin Soup;Broccoli Cheese Soup;Nichole's Chicken Cauliflower Soup;Garlic Shrimp and Cheesy Grits;Slow Cooker Texas Pulled Pork;Chicken Pot Pie IX;Best White Chicken Chili;Six Can Chicken Tortilla Soup;Chicken Milano"
chickpea,Vegetable Beef Minestrone;Sean's Falafel and Cucumber Sauce
chive,"Quick Creamed Curried Corn ;Creamy Cottage Cheese Scrambled Eggs;Authentic Pad Thai;Bacon Cheddar Chive Muffins;Chef John's Steak Diane;Chef John's Ham and Potato Soup;Herb, Sausage, and Cheese Dutch Baby;Sukhothai Pad Thai;Butternut and Apple Harvest Soup;Zucchini Soup;Paleo Baked Eggs in Avocado"
cilantro,"Oriental Cold Noodle Salad;Chicken Tikka Masala;Southwestern Cauliflower and Ham Soup;Thai Red Chicken Curry;Caldo de Res (Mexican Beef Soup);Chorizo Breakfast Tacos with Potato Hash and Eggs;Fresh Tomato Salsa;Thai Chicken Curry in Coconut Milk;Black Bean Huevos Rancheros;Addictive Asian Beef Slaw (Crack Slaw);Green Tomato Casserole;Yellow Dhal - Sweet Potato Soup;The Best Thai Peanut Sauce;Black Bean and Couscous Salad;Mexican Zucchini Cheese Soup;Thai Red Curry Paste;Herb Watermelon Feta Salad;Afghan Tomato Soup (Aush Goshti);Khao Man Gai Thai Chicken and Rice (Healthy Version);Thai Noodle Salad;Creamy, Cheesy Zucchini Soup;One Skillet Mexican Quinoa;Authentic Chicken Tikka Masala;Vegan Red Lentil Soup;Vietnamese Rice Noodle Salad;Thai Green Curry Chicken;Tom Ka Gai (Coconut Chicken Soup);Zesty Quinoa Salad;Spicy Garlic and Pepper Shrimp;Vietnamese Fresh Spring Rolls;Thai Cucumber Salad;Black Bean and Corn Salad II;Indian Fish Curry;Thai Chicken Balls;Tequila Shrimp;Sheet Pan Chicken Fajitas;Absolutely Ultimate Potato Soup;Slow Cook Thai Chicken;Quinoa and Black Beans;The Best Thai Coconut Soup;Spicy Chipotle Sweet Potato Soup;Chef John's Chicken Tikka Masala;Chinese Cold Pasta Salad;Thai Spicy Basil Chicken Fried Rice;Thai Chicken Satay;Mexican Bean Salad"
